"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"44",0.8,1.44,1.72,0.8,0.72,0.8,1.2,-0.1,0.72,1.44,-0.4,1.44,-0.16,0.6,1.44,0.72,0.54,1.88,1.8,-0.28,-0.28,0.46,0,1.2,0.57,0.72,1.45,0.6,0.6,1.44,0.2,1.16,1.16,0.8,0.99,0.8,0.44,1.24,0,0.2,0.2,0.89,0,0.44,0.44,1.36,-0.28,-0.1,0.44,0
"45",0.8,0.44,0.9,0.8,1.26,0.45,0.2,0.8,-0.6,0.44,0.6,0.44,0.8,-0.4,0.44,0.74,0,1.88,0.8,0.5,0.72,0.44,-0.41,0.2,0.2,-0.28,1.61,0.6,-0.1,0.44,0.2,1.16,1.51,0.8,1.36,1.65,0.44,-0.28,-0.07,1.2,0.2,1.56,-0.45,0.44,0.44,0.43,0.72,-0.62,0.44,-0.39
"46",1.8,0.73,0.16,0.57,0.72,0.61,1.2,0.21,0.72,0.7,0.6,0.91,-0.11,0.6,-0.07,0.72,0,2.88,1.8,0.72,0.72,1.44,0,1.2,-0.03,0.72,0,-0.4,0.9,1.44,1.2,2.16,2.16,1.8,0,1.8,1.44,0.72,0,1.2,1.2,0,0,1.44,1.44,0,0.44,0.9,-0.23,0
"47",1.8,1.44,0.9,1.8,0.72,1.8,1.2,1.8,0.72,1.44,0.6,1.44,1.8,0.6,1.44,0.72,0,1.54,1.8,0.72,0.72,1.44,0,1.2,1.2,0.72,0,0.6,0.9,1.44,1.2,2.16,2.16,1.8,0,1.8,1.44,0.72,0,1.2,1.2,0,-0.82,1.44,1.44,0,0.72,0.9,1.44,0
"48",1.8,0.44,0.9,-0.11,0.72,1.8,0.2,1.8,0.72,1.44,0.6,0.44,1.8,0.6,1.44,-0.28,0,1.88,0.8,0.72,0.72,1.44,0,1.2,1.2,1.7,0,0.6,0.9,1.36,1.2,1.16,1.16,1.8,0,0.8,0.81,0.72,0,1.2,1.2,0,0,-0.16,1.44,0,0.72,0.9,1.44,0
"49",0.2,0,-0.28,2.4,1.8,-0.56,1.44,1.8,0.9,1.72,-0.79,0,1.2,0.6,0,0,0.66,0,0.16,0,-0.66,1.8,0,1.34,0,0.84,1.2,0.6,-0.8,0.72,0.72,1.14,0,0,1.4,0.72,0,0.8,0,0.44,1.02,-0.1,0.21,-0.1,1.27,1.57,-0.13,1.44,0.9,-0.78
"50",1.2,0,0.72,1.47,0.8,0,1.44,0.7,0.9,0.32,-0.23,0,0.2,0.6,-0.73,0,1.2,0,0,1.4,2.7,1.49,0,1.2,1.23,1.8,1.2,0.6,-0.7,0.72,-0.28,0.02,0,-0.09,2.4,0.72,0,1.63,0,1.44,1.59,0.9,0,0.52,0.56,0,1.52,1.44,0.05,0.67
"51",1.2,0,0.72,1.4,0.8,1.7,1.44,0.8,0.07,0.8,1.2,0,0.27,-0.4,0.25,1.61,-0.06,1.44,0.02,0,1.49,0.8,0,1.2,0,-0.38,0.2,0.6,0,0.72,0.72,0,0,0,-0.59,0.72,0,0.33,0,1.44,0,0.9,0,0.9,1.35,0,0,0.44,-0.1,-0.79
"52",1.2,0.4,0.72,1.35,1.8,0,0.44,1.63,1.47,-0.64,0.46,0.98,-0.68,0.6,1.03,1.06,1.62,0.68,0.13,-0.53,1.7,1.8,0,0,0,1.2,1.2,0.6,1.68,0.66,1.1,1.15,1.06,0.89,1.18,1.57,-0.24,1.44,-0.78,0.29,0,1.34,-0.5,1.08,1.43,-0.01,-0.48,0.92,1.29,0
"53",1.2,0,0.72,-0.62,1.8,1.11,0.44,1.8,0.9,-0.11,0.2,0,1.2,0.6,0,0,1.2,0.26,0,-0.58,1.7,0.8,0,1.08,0,0.8,0.2,0.6,1.41,-0.28,0.72,0,0.57,0,1.4,-0.28,0,1.52,-0.67,0.44,0,-0.2,0,0.9,0,-0.64,0,0.44,0.9,0.8
"54",0.2,0,1.37,1.4,0.8,0,1.66,0.8,-0.1,1.8,1.2,0,-0.01,0.6,0,1.5,0.2,0,1.54,0,1.7,-0.86,0,0.2,0,0.8,1.2,-0.4,0,0.72,0.72,0,0,0,-0.31,0.72,0,1.8,0,1.44,0,0.9,0,0.9,0,-0.39,0.78,1.44,0.9,-0.76
"55",2.4,1.2,0.03,1.8,2.4,0,1.44,1.2,2.16,1.88,2,1.88,1.4,0.2,1.4,0.8,0.9,1.8,2.4,1.2,1.2,1.2,1.27,2.4,0.6,0.8,1.2,0.72,0.72,-0.4,2.16,0.35,2.4,1.8,-0.21,1.8,0,1.44,1.8,1.71,0.6,0.72,-0.25,2.16,1.2,0.72,0.2,-0.4,-0.28,1.8
"56",2.4,0.2,1.7,0.8,1.4,0,1.44,1.2,1.16,1.88,2,1.88,1.4,1.2,2.4,0.8,-0.1,0.8,1.4,0.2,1.2,1.2,0.79,-0.51,0.6,0.8,1.2,0.72,0.72,0.6,1.16,0.44,1.4,1.8,0,1.8,0,0.44,1.8,0.72,-0.4,-0.28,0.8,0.59,1.2,0.72,1.2,0.6,0.72,1.8
"57",1.4,1.2,2.7,0.8,1.4,0.42,0.44,1.2,-0.59,0.26,2,1.88,1.4,1.2,1.4,1.8,-0.46,0.8,1.4,0.2,0.2,1.2,0.9,1.4,0.6,0.8,0.2,1.68,-0.28,0.6,1.16,1.44,1.4,1.8,0,0.8,0,-0.71,0.8,0.72,0.6,0.72,1.8,1.16,0.2,0.72,0.2,0.6,0.72,0.76
"58",1.4,1.2,1.7,1.8,1.4,0,0.44,0.2,2.16,1.88,2,1.88,2.4,0.2,1.4,0.8,0.9,1.8,1.4,1.2,0.2,1.2,0.9,1.4,0.6,1.8,0.2,0.72,0.72,0.6,2.16,0.44,2.4,0.8,0,0.8,0,0.44,0.8,0.72,0.6,0.72,0.8,1.16,0.2,0.72,1.2,0.6,0.72,0.8
"59",1.4,1.2,1.7,1.8,1.4,0,1.44,0.2,1.16,2.88,2,1.35,1.4,1.2,1.4,1.8,1.15,1.8,1.4,1.2,1.2,0.2,-0.1,-0.68,-0.4,1.8,1.2,-0.28,0.72,0.6,1.13,1.44,1.4,0.8,0,0.8,0,1.44,0.8,0.72,0.6,0.82,1.8,1.16,1.2,-0.28,1.2,0.6,0.72,0.8
"60",1.4,0.2,-0.29,0.8,2.4,0,0.28,1.2,1.16,1.88,3,2.88,2.4,1.2,2.4,1.8,0.9,0.8,2.4,1.2,1.2,0.2,0.9,-0.72,0.6,1.8,1.2,0.72,0.05,0.6,1.16,1.44,1.4,0.8,0,1.8,0,1.44,1.8,-0.28,0.6,0.72,0.31,2.16,1.2,-0.81,1.2,0.6,1.5,0.64
"61",0.8,1.44,2.16,0,0.2,0.72,1.23,1.2,1.44,1.44,0.72,0.6,1.16,1.4,0.72,2.4,0,-0.4,1.8,0.56,1.44,1.8,0.9,1.33,1.8,0,0,0.44,1.2,1.44,0.2,1.4,0.44,1.4,1.8,2.6,2,1.4,1.2,1.16,0.8,1.16,-0.4,1.16,0.72,0.8,0.44,0.2,1.16,0.8
"62",1.8,0.44,1.16,0,1.2,0.72,1.4,1.2,0.44,1.44,0.72,0.6,2.6,2.4,0.72,1.4,0,0.6,1.8,-0.1,1.44,0.8,-0.1,1.2,1.8,0.46,0,1.28,1.2,0.59,1.2,1.4,0.43,1.4,0.8,0.22,2,2.4,1.2,1.65,1.8,1.5,0.6,1.48,0.51,1.8,1.01,1.2,-0.59,1.8
"63",0.8,0.44,2.16,0,1.2,-0.28,2.4,1.2,1.44,0.44,0.72,0.6,2.6,1.4,0.72,1.4,0,0.6,0.8,0.9,1.44,0.8,0.9,1.62,1.8,0,0,1.44,0.2,1.44,1.2,2.4,1.44,2.4,1.8,2.6,3,2.4,0.2,2.16,1.8,2.16,0.6,2.16,0.72,0.8,1.44,1.2,1.16,0.8
"64",0.8,1.44,1.16,1.49,0.2,0.72,0.56,0.2,0.44,1.44,-0.54,0.6,2.6,1.4,-0.28,2.4,0,0.6,0.8,0.9,0.75,1.8,0.9,0.59,0.8,-0.75,0,0.44,1.2,0.44,1.2,1.4,1.44,1.4,1.8,2.6,2,1.4,1.2,1.16,0.8,2.16,0.6,1.16,0.72,1.8,1.44,1.2,2.16,1.8
"65",1.8,1.44,1.16,0,1.2,0.72,1.4,1.2,0.84,0.44,0.72,0.6,0.55,2.4,0.72,1.4,0,0.6,0.8,0.9,0.44,1.8,1.68,1.2,0.8,0,0,1.44,0.2,1.44,1.2,2.4,1.44,2.4,0.8,2.6,2,1.4,0.2,2.16,1.8,1.16,0.6,2.16,0.72,1.8,1.44,1.2,2.16,1.8
"66",1.8,0.44,0.2,0,1.2,0.66,1.26,0.2,1.44,0.41,-0.28,-0.4,2.6,1.4,-0.79,1.4,0,0.6,1.8,1.25,0.44,0.8,-0.39,0.2,0.8,0,0,1.44,1.2,0.44,0.2,1.4,0.44,1.4,0.8,2.6,2,1.4,1.2,1.16,0.8,1.16,0.6,1.16,-0.28,0.8,0.44,0.2,1.16,0.8
"67",2.4,1.8,1.44,1.16,-0.45,1.2,0.72,2.88,1.2,1.2,0.6,0.6,0.73,1.15,0,-0.51,-0.04,0.6,0.9,1.44,0.9,1.44,2.16,1.2,1.8,2.16,1.8,1.2,2.16,1.2,1.8,2.4,1.2,0.6,1.8,2.4,0.6,1.44,1.8,1.8,1.2,1.2,1.8,1.2,1.2,0.6,1.2,1.8,1.2,1.2
"68",1.4,0.8,0.44,1.16,2.16,1.2,-0.28,1.88,0.2,0.2,-0.4,0.6,0,1.44,0,0,1.2,0.6,-0.1,0.44,-0.1,0.44,1.16,0.2,0.8,1.16,0.8,0.2,1.16,0.2,0.8,1.4,0.2,-0.4,0.8,1.4,-0.4,0.44,0.8,0.8,0.2,0.2,0.8,0.2,0.2,-0.4,0.2,0.8,0.2,0.2
"69",2.4,0.8,1.44,1.16,2.16,1.2,0.72,1.88,1.2,1.2,0.6,0.6,1.06,1.44,0,0,1.07,0.6,0.9,1.13,0.9,0.74,2.16,1.2,0.8,2.16,0.8,1.2,2.16,0.2,1.8,1.4,1.2,0.6,1.8,1.4,0.6,1.44,1.8,0.8,1.2,1.2,1.8,0.2,1.2,0.6,1.2,1.8,1.2,0.2
"70",1.4,1.8,0.44,2.16,1.16,0.2,0.72,1.88,0.2,1.2,0.6,0.6,0,1.44,0,1.12,1.2,-0.4,0.9,1.44,0.9,0.44,1.16,0.2,0.8,1.16,0.8,1.2,1.16,1.2,0.8,1.4,0.2,0.6,0.8,1.4,0.6,1.44,0.8,0.8,1.2,1.2,0.8,1.2,0.2,0.6,1.2,0.8,1.2,1.2
"71",1.4,0.8,-0.47,-0.26,1.16,0.2,1.58,-0.18,1.2,1.2,0.6,0.6,0,0.44,0,1.11,1.25,0.6,0.82,1.44,0.81,1.44,0.18,1.2,1.8,0.15,1.8,1.2,-0.04,1.2,1.8,2.4,1.2,0.6,1.8,2.4,0.6,1.24,1.8,1.8,1.2,1.2,1.8,1.2,1.2,0.6,1.2,1.8,1.2,1.2
"72",1.4,1.8,1.44,2.16,1.16,1.2,0.72,1.88,1.2,0.2,0.6,-0.4,0,0.44,0,0,0.2,0.6,1.36,0.44,-0.68,1.44,1.16,1.2,1.8,1.16,1.8,0.2,1.16,1.2,0.8,1.4,1.2,0.6,0.8,1.4,0.6,0.44,0.8,1.8,0.2,0.2,0.8,1.2,1.2,0.6,0.2,0.8,0.2,1.2
